State,BRANCH NAME,VillageName,Center,Customer_Name,OutStanding_Principal,Num_Days_SinceLAstDue,Bucket_Name
S2,AHM,203,82,C212,8879,0,Current (0 Days)
S2,HAD,180,42,C213,6930,0,Current (0 Days)
S2,NAN,197,24,C214,6324,0,Current (0 Days)
S2,NAN,197,24,C215,7046,0,Current (0 Days)
S2,NAN,197,24,C216,7081,0,Current (0 Days)
S2,NAN,197,28,C217,6919,0,Current (0 Days)
S2,NAN,197,28,C218,7045,0,Current (0 Days)
S2,NAI,200,42,C219,3081,0,Current (0 Days)
S2,BAS,213,24,C220,628,0,Current (0 Days)
S2,PAC,293,15,C221,3782,0,Current (0 Days)
S2,AUR,239,17,C222,2229,0,Current (0 Days)
S2,NAI,201,30,C223,4322,0,Current (0 Days)
S1,SHI,552,43,C224,825,0,Current (0 Days)
S2,AKA,211,15,C225,12472,0,Current (0 Days)
S2,SIL,235,42,C226,5996,0,Current (0 Days)
S2,NAI,201,16,C227,4179,0,Current (0 Days)
S2,KIN,180,13,C228,748,0,Current (0 Days)
S2,NAN,196,45,C229,30504,0,Current (0 Days)
S2,NAN,197,50,C230,6166,0,Current (0 Days)
S2,NAN,197,50,C231,6166,0,Current (0 Days)
S2,NAN,197,50,C232,6917,0,Current (0 Days)
S2,NAN,197,50,C233,6166,0,Current (0 Days)
S2,NAN,197,50,C234,6917,0,Current (0 Days)
S2,NAN,202,44,C235,8374,0,Current (0 Days)
S2,NAN,202,44,C236,8374,0,Current (0 Days)
S2,NAN,202,44,C237,8374,0,Current (0 Days)
S2,NAN,202,44,C238,8374,0,Current (0 Days)
S2,AUR,237,44,C239,4281,0,Current (0 Days)
S2,SHA,278,11,C240,1536,0,Current (0 Days)
S2,NIL,357,95,C241,1788,0,Current (0 Days)
S2,HAD,179,73,C242,24055,0,Current (0 Days)
S2,NAN,202,18,C243,11544,0,Current (0 Days)
S2,HAD,179,73,C244,3306,0,Current (0 Days)
S2,NAN,202,44,C245,8371,0,Current (0 Days)
S2,PAI,328,93,C246,3713,0,Current (0 Days)
S2,PAI,328,93,C247,2871,0,Current (0 Days)
S2,NAN,196,12,C248,3953,0,Current (0 Days)
S2,NAN,196,12,C249,3953,0,Current (0 Days)
S2,NAN,196,12,C250,4694,0,Current (0 Days)
S2,NAN,196,12,C251,4694,0,Current (0 Days)
S2,NAN,196,12,C252,4694,0,Current (0 Days)
S2,NAN,196,12,C253,4694,0,Current (0 Days)
S2,NAN,196,21,C254,2575,0,Current (0 Days)
S2,NIL,357,10,C255,101,0,Current (0 Days)
S2,NIL,357,14,C256,101,0,Current (0 Days)
S2,NIL,357,14,C257,596,0,Current (0 Days)
S2,NIL,357,14,C258,596,0,Current (0 Days)
S2,AHM,221,99,C259,811,0,Current (0 Days)
S1,SHI,738,44,C260,8218,0,Current (0 Days)
S1,KUD,519,36,C261,1868,0,Current (0 Days)
S1,KUD,519,36,C262,1130,0,Current (0 Days)
S2,AUR,242,66,C263,355,0,Current (0 Days)
S2,HAD,194,12,C264,4790,0,Current (0 Days)
S2,KIN,192,44,C265,1512,0,Current (0 Days)
S2,LAT,351,16,C266,657,0,Current (0 Days)
S2,LAT,352,11,C267,657,0,Current (0 Days)
S2,LAT,352,11,C268,657,0,Current (0 Days)
S2,LAT,352,11,C269,944,0,Current (0 Days)
S2,LAT,352,11,C270,657,0,Current (0 Days)
S2,BAS,213,10,C271,7513,0,Current (0 Days)
S2,BAS,213,10,C272,7513,0,Current (0 Days)
S2,BAS,213,10,C273,7511,0,Current (0 Days)
S2,BAS,196,11,C274,5145,0,Current (0 Days)
S2,HAD,179,91,C275,2735,0,Current (0 Days)
S2,HAD,195,57,C276,9638,0,Current (0 Days)
S2,KIN,192,81,C277,1073,0,Current (0 Days)
S2,SHA,279,37,C278,14303,0,Current (0 Days)
S2,PAL,272,45,C279,6112,0,Current (0 Days)
S2,PAL,272,45,C280,5483,0,Current (0 Days)
S2,PAL,272,45,C281,2188,0,Current (0 Days)
S2,AUR,238,72,C282,1129,0,Current (0 Days)
S2,AHM,353,67,C283,16796,0,Current (0 Days)
S2,AHM,354,22,C284,6845,0,Current (0 Days)
S2,AHM,353,33,C285,7893,0,Current (0 Days)
S2,AHM,353,33,C286,7893,0,Current (0 Days)
S2,NAI,201,40,C287,9145,0,Current (0 Days)
S2,NAI,201,40,C288,9591,0,Current (0 Days)
S2,NAI,201,40,C289,9145,0,Current (0 Days)
S2,NAI,201,10,C290,7814,0,Current (0 Days)
S2,NAI,201,10,C291,7127,0,Current (0 Days)
S2,NAI,201,10,C292,7127,0,Current (0 Days)
S2,SIL,235,16,C293,251,0,Current (0 Days)
S2,PAI,245,10,C294,5872,0,Current (0 Days)
S2,SIL,235,16,C295,4168,0,Current (0 Days)
S2,NAN,196,12,C296,3953,0,Current (0 Days)
S2,NAN,196,12,C297,3953,0,Current (0 Days)
S2,NAN,196,12,C298,3953,0,Current (0 Days)
